NO,MOVIE_NM,DRCTR_NM,MAKR_NM,INCME_CMPNY_NM,DISTB_CMPNY_NM,OPN_DE,MOVIE_TY_NM,MOVIE_STLE_NM,NLTY_NM,TOT_SCRN_CO,SALES_PRICE,VIEWNG_NMPR_CO,SEOUL_SALES_PRICE,SEOUL_VIEWNG_NMPR_CO,GENRE_NM,GRAD_NM,MOVIE_SDIV_NM
1202,뜨거운 유부녀들 무삭제판,아카바네 키쿠지로,,(주)영진크리에이티브,(주)영진크리에이티브,20200516,개봉영화,장편,일본,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
1203,뜨거운 유부녀들:남자 맛보기,"쿠로아카 긴조,사노 B사쿠",,(주)영진크리에이티브,(주)영진크리에이티브,20200806,개봉영화,장편,일본,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
1204,뜨거운 장모님,,,비스킷미디어,비스킷미디어,20200409,개봉영화,장편,일본,1,1000,1,1000,1,성인물(에로),청소년관람불가,일반영화
1205,뜨거워진 새엄마,키무라 히로유키,,(주)영진크리에이티브,(주)영진크리에이티브,20200512,개봉영화,장편,일본,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
1206,라스트 카우보이,브렛 벤트먼,,,(주)영화사 안다미로,20201026,개봉영화,장편,미국,1,1000,1,0,0,액션,15세이상관람가,일반영화
1207,란제리 입는 새엄마,히이라기 엔부,,(주)영진크리에이티브,(주)영진크리에이티브,20200318,개봉영화,장편,일본,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
1208,러브돌: 위험한 사랑,프린스턴 홀트,,(주)엔케이컨텐츠,(주)엔케이컨텐츠,20200303,개봉영화,장편,미국,1,1000,1,0,0,드라마,청소년관람불가,일반영화
1209,러시아 가정부,김환,(주)영화사가을,,(주)영화사가을,20200226,개봉영화,장편,한국,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
1210,러시아 가정부 무삭제,김환,(주)영화사가을,,(주)영화사가을,20200513,개봉영화,장편,한국,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
1211,런 런 런,,,,(주)영화사 안다미로,20201228,개봉영화,장편,미국,1,1000,1,1000,1,공포(호러),15세이상관람가,일반영화
1212,레닌그라드 대공습,,,(주)소나무픽쳐스,(주)소나무픽쳐스,20200317,개봉영화,장편,러시아,1,5000,1,0,0,액션,12세이상관람가,일반영화
1213,로그 워페어 2 더 헌트,마이크 건서,,주식회사 풍경소리,주식회사 풍경소리,20200603,개봉영화,장편,미국,1,1000,1,0,0,전쟁,15세이상관람가,일반영화
1214,로그 워페어 3 데스 오브 네이션,마이크 건서,,,주식회사 풍경소리,20200826,개봉영화,장편,미국,1,1000,1,0,0,전쟁,15세이상관람가,일반영화
1215,롯폰기:불타는 하룻밤,미시마 로쿠사부로,,,(주)영진크리에이티브,20201116,개봉영화,장편,일본,1,6000,1,0,0,멜로/로맨스,청소년관람불가,일반영화
1216,루시드: 자각몽,,,(주)도키엔터테인먼트,(주)도키엔터테인먼트,20200124,개봉영화,장편,영국,1,6000,1,0,0,SF,15세이상관람가,일반영화
1217,루아나의 세계,,,,(주)영화사 안다미로,20201116,개봉영화,장편,미국,1,1000,1,0,0,드라마,12세이상관람가,일반영화
